N,Seed,Method,Class,Converged,Rounds,q_hat,FinalResidual,NativeCriterion,CommonAlphaExploitability,ExpectedPayoff,WorstCaseQ5,CE_gamma,PayoffDegradation,SCShare,RuntimeSec,DecisionAlpha,SolveDelta,Certificate
50,58,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.776793698659382,0.656663426238362,0.710722048827821,0.12013027242102,0.273686363205582,0.2013448,1,0.2,none
50,58,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.74072164526751,0.730803953808341,0.735266914964967,0.00991769145916843,1.14996634136185e-05,0.0888974,1,0.2,none
50,58,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.79785240152694,0.673951728639674,0.729707031438944,0.123900672887265,0.288843548536262,0.0060307,1,0.2,none
50,59,Proposed IT2-W-FBRI,Proposed,1,45,0.856502791883735,7.73351708777944e-05,max strategy-step L1,0.0101278438540219,0.815719717435617,0.807317158895435,0.811098310238517,0.00840255854018235,2.35920465921318e-05,0.008014,0.5,0.2,base Gamma_alpha certificate; focused point empirical
50,59,Isobe-APP,Convergence SOTA,1,42,0.77838815129929,9.78576008152341e-05,outer-anchor L1,7.22879718306757e-08,0.84180981524508,0.380913180735407,0.58831666626476,0.460896634509673,0.999952580206905,0.0044214,1,0,none
50,59,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.79493200511161,0.623601938853523,0.700700468669662,0.171330066258087,0.389135510165119,0.2590246,1,0.2,none
50,59,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.776837292454433,0.656650645915803,0.710734636858186,0.120186646538631,0.273686363205582,0.211816,1,0.2,none
50,59,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.740775795025622,0.730970916131363,0.735383111633779,0.00980487889425918,1.14996634136185e-05,0.0907924,1,0.2,none
50,59,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.797909928027684,0.674209428968046,0.729874653544883,0.123700499059638,0.288843548536262,0.0061902,1,0.2,none
50,60,Proposed IT2-W-FBRI,Proposed,1,45,0.856831120468958,7.73353003116464e-05,max strategy-step L1,0.0101278438639264,0.815889241202765,0.807261414475595,0.811143936502821,0.00862782672717055,2.35920521763051e-05,0.0079802,0.5,0.2,base Gamma_alpha certificate; focused point empirical
