Mode,SeedGroup,Method,Seed,Rounds,ExpectedPayoff,WorstCaseQ5,CE_055,SCShare,EpsNE,RuntimeSec
dispersed,main,MF-RQE,50,21,0.76210987845032,0.649407317550582,0.700123469955464,0.273686364048246,NaN,1.7285917
dispersed,main,CVaR-game,50,28,0.716784014994723,0.727478459131007,0.722665959269679,1.14996634136185e-05,NaN,0.7137384
dispersed,main,DRNE-VI,50,300,0.78315283993565,0.645468710440061,0.707426568713076,0.288843548536262,NaN,0.005794
dispersed,main,Proposed-Base,51,21,0.738024253063626,0.581886797103291,0.652148652285442,0.100750896219202,0.0295115273561639,0.0038885
dispersed,main,Proposed-Anneal,51,78,0.749079270301316,0.505038524986275,0.614856860378044,9.5353682637341e-05,0.00315266793322044,0.017582
dispersed,main,Proposed-Coherent,51,28,0.717535768864124,0.728344999082748,0.723480845484367,1.14996634136185e-05,4.66754617733933e-07,0.7364033
dispersed,main,Isobe-APP,51,42,0.844575828435644,0.379346107357912,0.588699481842891,0.999952769308014,NaN,0.0041136
dispersed,main,RQE,51,23,0.782510483449015,0.623639039444351,0.695131189246449,0.389135516637,NaN,1.6029792
dispersed,main,MF-RQE,51,21,0.761667418299804,0.649711048286198,0.700091414792321,0.273686364048246,NaN,1.7769095
dispersed,main,CVaR-game,51,28,0.717535768864124,0.728344999082748,0.723480845484367,1.14996634136185e-05,NaN,0.6994778
dispersed,main,DRNE-VI,51,300,0.782211933482725,0.645953905694796,0.707270018199364,0.288843548536262,NaN,0.0059016
dispersed,main,MF-RQE,43,21,0.762087787764894,0.649566953445732,0.700201328889355,0.273686364048246,NaN,2.338108
concentrated,holdout,Proposed-Base,52,21,0.758258523407999,0.715051722016211,0.734494782642515,0.100751262160766,0.0295114784980004,0.0368872
concentrated,holdout,Proposed-Anneal,52,78,0.773927973610665,0.769852095035153,0.771686240394133,9.53536826381259e-05,0.00315266793322033,0.0297683
concentrated,holdout,Proposed-Coherent,52,28,0.740653898883964,0.730883017361253,0.735279914046473,1.14996634136185e-05,4.66754617733933e-07,3.9688131
concentrated,holdout,Isobe-APP,52,42,0.84200178120378,0.380395781146358,0.588118481172198,0.999952566826486,NaN,0.0239469
concentrated,holdout,RQE,52,23,0.795037039268168,0.623950266824244,0.70093931442401,0.389135516637,NaN,1.6621236
concentrated,holdout,MF-RQE,52,21,0.776907147652203,0.656937228439187,0.710923692085044,0.273686364048246,NaN,1.818807
concentrated,holdout,CVaR-game,52,28,0.740653898883964,0.730883017361253,0.735279914046473,1.14996634136185e-05,NaN,0.7681055
concentrated,holdout,DRNE-VI,52,300,0.797953883359044,0.673989393796002,0.729773414099371,0.288843548536262,NaN,0.0289551
concentrated,holdout,Proposed-Base,53,21,0.758336416094598,0.715116603354293,0.73456551908743,0.100750972793531,0.0295114891506388,0.0069848
concentrated,holdout,Proposed-Anneal,53,78,0.77392255860839,0.769784145461587,0.771646431377648,9.53536826376272e-05,0.00315266793322044,0.0147121
